REPORT_DATE,REPORT_TIME,EVENT,CLIENT_TYPE,OBJECT_DELETE(TRY_PARSE_JSON(PAYLOAD),'ORIGINAL_PAYLOAD')::VARCHAR
11/08/2025,52:01.9,DID_RENEW,APPLE_S2S,"{""signedPayload"":{""data"":{""appAppleId"":6730119981,""bundleId"":""com.parnasa.pdfviewz"",""bundleVersion"":""2"",""environment"":""Production"",""signedRenewalInfo"":{""appTransactionId"":""704746028258935589"",""autoRenewProductId"":""weekly.parnasa.srls.com"",""autoRenewStatus"":1,""currency"":""BRL"",""environment"":""Production"",""originalTransactionId"":""570002091595335"",""productId"":""weekly.parnasa.srls.com"",""recentSubscriptionStartDate"":1754661085000,""renewalDate"":1755525085000,""renewalPrice"":49900,""signedDate"":1754891518303},""signedTransactionInfo"":{""appTransactionId"":""704746028258935589"",""bundleId"":""com.parnasa.pdfviewz"",""currency"":""BRL"",""environment"":""Production"",""expiresDate"":1755525085000,""inAppOwnershipType"":""PURCHASED"",""originalPurchaseDate"":1754661086000,""originalTransactionId"":""570002091595335"",""price"":49900,""productId"":""weekly.parnasa.srls.com"",""purchaseDate"":1754920285000,""quantity"":1,""signedDate"":1754891518303,""storefront"":""BRA"",""storefrontId"":""143503"",""subscriptionGroupIdentifier"":""21548942"",""transactionId"":""570002094805742"",""transactionReason"":""RENEWAL"",""type"":""Auto-Renewable Subscription"",""webOrderLineItemId"":""570000960721013""},""status"":1},""notificationType"":""DID_RENEW"",""notificationUUID"":""c802b8c2-f4f1-431c-b94b-e794c4fbd205"",""signedDate"":1754891518338,""version"":""2.0""}}",
01/09/2025,52:12.3,DID_RENEW,APPLE_S2S,"{""signedPayload"":{""data"":{""appAppleId"":6730119981,""bundleId"":""com.parnasa.pdfviewz"",""bundleVersion"":""2"",""environment"":""Production"",""signedRenewalInfo"":{""appTransactionId"":""704746028258935589"",""autoRenewProductId"":""weekly.parnasa.srls.com"",""autoRenewStatus"":1,""currency"":""BRL"",""environment"":""Production"",""originalTransactionId"":""570002091595335"",""productId"":""weekly.parnasa.srls.com"",""recentSubscriptionStartDate"":1754661085000,""renewalDate"":1757339485000,""renewalPrice"":49900,""signedDate"":1756705928669},""signedTransactionInfo"":{""appTransactionId"":""704746028258935589"",""bundleId"":""com.parnasa.pdfviewz"",""currency"":""BRL"",""environment"":""Production"",""expiresDate"":1757339485000,""inAppOwnershipType"":""PURCHASED"",""originalPurchaseDate"":1754661086000,""originalTransactionId"":""570002091595335"",""price"":49900,""productId"":""weekly.parnasa.srls.com"",""purchaseDate"":1756734685000,""quantity"":1,""signedDate"":1756705928669,""storefront"":""BRA"",""storefrontId"":""143503"",""subscriptionGroupIdentifier"":""21548942"",""transactionId"":""570002118856897"",""transactionReason"":""RENEWAL"",""type"":""Auto-Renewable Subscription"",""webOrderLineItemId"":""570000969018091""},""status"":1},""notificationType"":""DID_RENEW"",""notificationUUID"":""9489c0da-713d-4d52-b6e0-3916ae29ee4b"",""signedDate"":1756705928699,""version"":""2.0""}}",
08/09/2025,51:56.8,DID_RENEW,APPLE_S2S,"{""signedPayload"":{""data"":{""appAppleId"":6730119981,""bundleId"":""com.parnasa.pdfviewz"",""bundleVersion"":""2"",""environment"":""Production"",""signedRenewalInfo"":{""appTransactionId"":""704746028258935589"",""autoRenewProductId"":""weekly.parnasa.srls.com"",""autoRenewStatus"":1,""currency"":""BRL"",""environment"":""Production"",""originalTransactionId"":""570002091595335"",""productId"":""weekly.parnasa.srls.com"",""recentSubscriptionStartDate"":1754661085000,""renewalDate"":1757944285000,""renewalPrice"":49900,""signedDate"":1757310715658},""signedTransactionInfo"":{""appTransactionId"":""704746028258935589"",""bundleId"":""com.parnasa.pdfviewz"",""currency"":""BRL"",""environment"":""Production"",""expiresDate"":1757944285000,""inAppOwnershipType"":""PURCHASED"",""originalPurchaseDate"":1754661086000,""originalTransactionId"":""570002091595335"",""price"":49900,""productId"":""weekly.parnasa.srls.com"",""purchaseDate"":1757339485000,""quantity"":1,""signedDate"":1757310715658,""storefront"":""BRA"",""storefrontId"":""143503"",""subscriptionGroupIdentifier"":""21548942"",""transactionId"":""570002127060406"",""transactionReason"":""RENEWAL"",""type"":""Auto-Renewable Subscription"",""webOrderLineItemId"":""570000972958773""},""status"":1},""notificationType"":""DID_RENEW"",""notificationUUID"":""3e6db1f4-ba9e-4832-b07e-a185743a3d80"",""signedDate"":1757310715658,""version"":""2.0""}}",
15/09/2025,51:45.3,DID_RENEW,APPLE_S2S,"{""signedPayload"":{""data"":{""appAppleId"":6730119981,""bundleId"":""com.parnasa.pdfviewz"",""bundleVersion"":""2"",""environment"":""Production"",""signedRenewalInfo"":{""appTransactionId"":""704746028258935589"",""autoRenewProductId"":""weekly.parnasa.srls.com"",""autoRenewStatus"":1,""currency"":""BRL"",""environment"":""Production"",""originalTransactionId"":""570002091595335"",""productId"":""weekly.parnasa.srls.com"",""recentSubscriptionStartDate"":1754661085000,""renewalDate"":1758549085000,""renewalPrice"":49900,""signedDate"":1757915502931},""signedTransactionInfo"":{""appTransactionId"":""704746028258935589"",""bundleId"":""com.parnasa.pdfviewz"",""currency"":""BRL"",""environment"":""Production"",""expiresDate"":1758549085000,""inAppOwnershipType"":""PURCHASED"",""originalPurchaseDate"":1754661086000,""originalTransactionId"":""570002091595335"",""price"":49900,""productId"":""weekly.parnasa.srls.com"",""purchaseDate"":1757944285000,""quantity"":1,""signedDate"":1757915502931,""storefront"":""BRA"",""storefrontId"":""143503"",""subscriptionGroupIdentifier"":""21548942"",""transactionId"":""570002134976564"",""transactionReason"":""RENEWAL"",""type"":""Auto-Renewable Subscription"",""webOrderLineItemId"":""570000977108969""},""status"":1},""notificationType"":""DID_RENEW"",""notificationUUID"":""fd159d2a-c1c7-4f0b-89a5-44a4f478508c"",""signedDate"":1757915502931,""version"":""2.0""}}",
08/08/2025,52:08.3,SUBSCRIBED,APPLE_S2S,"{""signedPayload"":{""data"":{""appAppleId"":6730119981,""bundleId"":""com.parnasa.pdfviewz"",""bundleVersion"":""2"",""environment"":""Production"",""signedRenewalInfo"":{""appTransactionId"":""704746028258935589"",""autoRenewProductId"":""weekly.parnasa.srls.com"",""autoRenewStatus"":1,""currency"":""BRL"",""environment"":""Production"",""originalTransactionId"":""570002091595335"",""productId"":""weekly.parnasa.srls.com"",""recentSubscriptionStartDate"":1754661085000,""renewalDate"":1754920285000,""renewalPrice"":49900,""signedDate"":1754661114516},""signedTransactionInfo"":{""appTransactionId"":""704746028258935589"",""bundleId"":""com.parnasa.pdfviewz"",""currency"":""BRL"",""environment"":""Production"",""expiresDate"":1754920285000,""inAppOwnershipType"":""PURCHASED"",""offerDiscountType"":""FREE_TRIAL"",""offerPeriod"":""P3D"",""offerType"":1,""originalPurchaseDate"":1754661086000,""originalTransactionId"":""570002091595335"",""price"":0,""productId"":""weekly.parnasa.srls.com"",""purchaseDate"":1754661085000,""quantity"":1,""signedDate"":1754661114516,""storefront"":""BRA"",""storefrontId"":""143503"",""subscriptionGroupIdentifier"":""21548942"",""transactionId"":""570002091595335"",""transactionReason"":""PURCHASE"",""type"":""Auto-Renewable Subscription"",""webOrderLineItemId"":""570000960721012""},""status"":1},""notificationType"":""SUBSCRIBED"",""notificationUUID"":""87bd2f4e-5ed7-4f2f-85d8-fff0af49b34f"",""signedDate"":1754661114535,""subtype"":""INITIAL_BUY"",""version"":""2.0""}}",
08/08/2025,51:38.2,transaction,native,"{""signedVerification"":{""appTransactionId"":""704746028258935589"",""bundleId"":""com.parnasa.pdfviewz"",""currency"":""BRL"",""deviceVerification"":""AochAAzbRWlxMxz2VTcVVYv+gzC0arcYPlE0EIgZ+FEB9EGFS00exUQU41iRRS+R"",""deviceVerificationNonce"":""d54d5330-81ae-4467-b511-87476634e6a2"",""environment"":""Production"",""expiresDate"":1754920285000,""inAppOwnershipType"":""PURCHASED"",""offerDiscountType"":""FREE_TRIAL"",""offerPeriod"":""P3D"",""offerType"":1,""originalPurchaseDate"":1754661086000,""originalTransactionId"":""570002091595335"",""price"":0,""productId"":""weekly.parnasa.srls.com"",""purchaseDate"":1754661085000,""quantity"":1,""signedDate"":1754661085473,""storefront"":""BRA"",""storefrontId"":""143503"",""subscriptionGroupIdentifier"":""21548942"",""transactionId"":""570002091595335"",""transactionReason"":""PURCHASE"",""type"":""Auto-Renewable Subscription"",""webOrderLineItemId"":""570000960721012""}}",
17/09/2025,20:03.7,DID_CHANGE_RENEWAL_STATUS,APPLE_S2S,"{""signedPayload"":{""data"":{""appAppleId"":6730119981,""bundleId"":""com.parnasa.pdfviewz"",""bundleVersion"":""2"",""environment"":""Production"",""signedRenewalInfo"":{""appTransactionId"":""704746028258935589"",""autoRenewProductId"":""weekly.parnasa.srls.com"",""autoRenewStatus"":0,""environment"":""Production"",""originalTransactionId"":""570002091595335"",""productId"":""weekly.parnasa.srls.com"",""recentSubscriptionStartDate"":1754661085000,""renewalDate"":1758549085000,""signedDate"":1758104401410},""signedTransactionInfo"":{""appTransactionId"":""704746028258935589"",""bundleId"":""com.parnasa.pdfviewz"",""currency"":""BRL"",""environment"":""Production"",""expiresDate"":1758549085000,""inAppOwnershipType"":""PURCHASED"",""originalPurchaseDate"":1754661086000,""originalTransactionId"":""570002091595335"",""price"":49900,""productId"":""weekly.parnasa.srls.com"",""purchaseDate"":1757944285000,""quantity"":1,""signedDate"":1758104401410,""storefront"":""BRA"",""storefrontId"":""143503"",""subscriptionGroupIdentifier"":""21548942"",""transactionId"":""570002134976564"",""transactionReason"":""RENEWAL"",""type"":""Auto-Renewable Subscription"",""webOrderLineItemId"":""570000977108969""},""status"":1},""notificationType"":""DID_CHANGE_RENEWAL_STATUS"",""notificationUUID"":""0194d223-ae70-4ca4-b6c8-53c2f5b299f3"",""signedDate"":1758104401410,""subtype"":""AUTO_RENEW_DISABLED"",""version"":""2.0""}}",
22/09/2025,51:52.8,EXPIRED,APPLE_S2S,"{""signedPayload"":{""data"":{""appAppleId"":6730119981,""bundleId"":""com.parnasa.pdfviewz"",""bundleVersion"":""2"",""environment"":""Production"",""signedRenewalInfo"":{""appTransactionId"":""704746028258935589"",""autoRenewProductId"":""weekly.parnasa.srls.com"",""autoRenewStatus"":0,""environment"":""Production"",""expirationIntent"":1,""isInBillingRetryPeriod"":false,""originalTransactionId"":""570002091595335"",""productId"":""weekly.parnasa.srls.com"",""recentSubscriptionStartDate"":1754661085000,""renewalDate"":1758549085000,""signedDate"":1758549109947},""signedTransactionInfo"":{""appTransactionId"":""704746028258935589"",""bundleId"":""com.parnasa.pdfviewz"",""currency"":""BRL"",""environment"":""Production"",""expiresDate"":1758549085000,""inAppOwnershipType"":""PURCHASED"",""originalPurchaseDate"":1754661086000,""originalTransactionId"":""570002091595335"",""price"":49900,""productId"":""weekly.parnasa.srls.com"",""purchaseDate"":1757944285000,""quantity"":1,""signedDate"":1758549109947,""storefront"":""BRA"",""storefrontId"":""143503"",""subscriptionGroupIdentifier"":""21548942"",""transactionId"":""570002134976564"",""transactionReason"":""RENEWAL"",""type"":""Auto-Renewable Subscription"",""webOrderLineItemId"":""570000977108969""},""status"":2},""notificationType"":""EXPIRED"",""notificationUUID"":""63edf778-9676-4a2a-816d-33292eb1dbf8"",""signedDate"":1758549109947,""subtype"":""VOLUNTARY"",""version"":""2.0""}}",
18/08/2025,52:13.3,DID_RENEW,APPLE_S2S,"{""signedPayload"":{""data"":{""appAppleId"":6730119981,""bundleId"":""com.parnasa.pdfviewz"",""bundleVersion"":""2"",""environment"":""Production"",""signedRenewalInfo"":{""appTransactionId"":""704746028258935589"",""autoRenewProductId"":""weekly.parnasa.srls.com"",""autoRenewStatus"":1,""currency"":""BRL"",""environment"":""Production"",""originalTransactionId"":""570002091595335"",""productId"":""weekly.parnasa.srls.com"",""recentSubscriptionStartDate"":1754661085000,""renewalDate"":1756129885000,""renewalPrice"":49900,""signedDate"":1755496324955},""signedTransactionInfo"":{""appTransactionId"":""704746028258935589"",""bundleId"":""com.parnasa.pdfviewz"",""currency"":""BRL"",""environment"":""Production"",""expiresDate"":1756129885000,""inAppOwnershipType"":""PURCHASED"",""originalPurchaseDate"":1754661086000,""originalTransactionId"":""570002091595335"",""price"":49900,""productId"":""weekly.parnasa.srls.com"",""purchaseDate"":1755525085000,""quantity"":1,""signedDate"":1755496324955,""storefront"":""BRA"",""storefrontId"":""143503"",""subscriptionGroupIdentifier"":""21548942"",""transactionId"":""570002104879512"",""transactionReason"":""RENEWAL"",""type"":""Auto-Renewable Subscription"",""webOrderLineItemId"":""570000962230021""},""status"":1},""notificationType"":""DID_RENEW"",""notificationUUID"":""0b683c9e-5687-47a6-b930-9fe8c6367b8d"",""signedDate"":1755496324977,""version"":""2.0""}}",
14/10/2025,17:33.3,transaction,native,"{""signedVerification"":{""appTransactionId"":""704746028258935589"",""bundleId"":""com.parnasa.pdfviewz"",""currency"":""BRL"",""deviceVerification"":""hZHMejwJ6qAyAhE2rzTlzIna/mNT76RYiRDx7/ITkJNxccWgxWONJqYgUS8yhRj4"",""deviceVerificationNonce"":""4353ce6d-1ad8-44ba-8a87-8f4f1e4c289e"",""environment"":""Production"",""expiresDate"":1757339485000,""inAppOwnershipType"":""PURCHASED"",""originalPurchaseDate"":1754661086000,""originalTransactionId"":""570002091595335"",""price"":49900,""productId"":""weekly.parnasa.srls.com"",""purchaseDate"":1756734685000,""quantity"":1,""signedDate"":1760369702244,""storefront"":""BRA"",""storefrontId"":""143503"",""subscriptionGroupIdentifier"":""21548942"",""transactionId"":""570002118856897"",""transactionReason"":""RENEWAL"",""type"":""Auto-Renewable Subscription"",""webOrderLineItemId"":""570000969018091""}}",
13/10/2025,35:43.5,transaction,native,"{""signedVerification"":{""appTransactionId"":""704746028258935589"",""bundleId"":""com.parnasa.pdfviewz"",""currency"":""BRL"",""deviceVerification"":""m+W52fi7us/6zcBvk1EBTJeqRCuKRCRORLRV+dZoZP4Rai4SsqwfrYcnNSzyemUf"",""deviceVerificationNonce"":""8992f8d3-5671-40a0-a2b7-e78976114762"",""environment"":""Production"",""expiresDate"":1758549085000,""inAppOwnershipType"":""PURCHASED"",""originalPurchaseDate"":1754661086000,""originalTransactionId"":""570002091595335"",""price"":49900,""productId"":""weekly.parnasa.srls.com"",""purchaseDate"":1757944285000,""quantity"":1,""signedDate"":1760369702718,""storefront"":""BRA"",""storefrontId"":""143503"",""subscriptionGroupIdentifier"":""21548942"",""transactionId"":""570002134976564"",""transactionReason"":""RENEWAL"",""type"":""Auto-Renewable Subscription"",""webOrderLineItemId"":""570000977108969""}}",
13/10/2025,36:24.1,transaction,native,"{""signedVerification"":{""appTransactionId"":""704746028258935589"",""bundleId"":""com.parnasa.pdfviewz"",""currency"":""BRL"",""deviceVerification"":""GDctj7+clpcrqRsigRSKVdn5adk93Jm22oqa9ug0mqddL/JXcm4qwU2x6tUI3gi1"",""deviceVerificationNonce"":""ff3cf143-97f2-4c28-83d2-0724de40227f"",""environment"":""Production"",""expiresDate"":1757944285000,""inAppOwnershipType"":""PURCHASED"",""originalPurchaseDate"":1754661086000,""originalTransactionId"":""570002091595335"",""price"":49900,""productId"":""weekly.parnasa.srls.com"",""purchaseDate"":1757339485000,""quantity"":1,""signedDate"":1760369702244,""storefront"":""BRA"",""storefrontId"":""143503"",""subscriptionGroupIdentifier"":""21548942"",""transactionId"":""570002127060406"",""transactionReason"":""RENEWAL"",""type"":""Auto-Renewable Subscription"",""webOrderLineItemId"":""570000972958773""}}",
25/08/2025,52:24.6,DID_RENEW,APPLE_S2S,"{""signedPayload"":{""data"":{""appAppleId"":6730119981,""bundleId"":""com.parnasa.pdfviewz"",""bundleVersion"":""2"",""environment"":""Production"",""signedRenewalInfo"":{""appTransactionId"":""704746028258935589"",""autoRenewProductId"":""weekly.parnasa.srls.com"",""autoRenewStatus"":1,""currency"":""BRL"",""environment"":""Production"",""originalTransactionId"":""570002091595335"",""productId"":""weekly.parnasa.srls.com"",""recentSubscriptionStartDate"":1754661085000,""renewalDate"":1756734685000,""renewalPrice"":49900,""signedDate"":1756101140022},""signedTransactionInfo"":{""appTransactionId"":""704746028258935589"",""bundleId"":""com.parnasa.pdfviewz"",""currency"":""BRL"",""environment"":""Production"",""expiresDate"":1756734685000,""inAppOwnershipType"":""PURCHASED"",""originalPurchaseDate"":1754661086000,""originalTransactionId"":""570002091595335"",""price"":49900,""productId"":""weekly.parnasa.srls.com"",""purchaseDate"":1756129885000,""quantity"":1,""signedDate"":1756101140022,""storefront"":""BRA"",""storefrontId"":""143503"",""subscriptionGroupIdentifier"":""21548942"",""transactionId"":""570002110789715"",""transactionReason"":""RENEWAL"",""type"":""Auto-Renewable Subscription"",""webOrderLineItemId"":""570000966270204""},""status"":1},""notificationType"":""DID_RENEW"",""notificationUUID"":""829600f8-ef4f-461a-9e94-53138486ef78"",""signedDate"":1756101140064,""version"":""2.0""}}",